"ensembl_gene_id","hgnc_symbol","entrezgene_id"
"ENSG00000000003","TSPAN6",7105
"ENSG00000000419","DPM1",8813
"ENSG00000000457","SCYL3",57147
"ENSG00000000460","FIRRM",55732
"ENSG00000000971","CFH",3075
"ENSG00000001036","FUCA2",2519
"ENSG00000001084","GCLC",2729
"ENSG00000001167","NFYA",4800
"ENSG00000001460","STPG1",90529
"ENSG00000001461","NIPAL3",57185
"ENSG00000001497","LAS1L",81887
"ENSG00000001561","ENPP4",22875
"ENSG00000001617","SEMA3F",6405
"ENSG00000001626","CFTR",1080
"ENSG00000001629","ANKIB1",54467
"ENSG00000001630","CYP51A1",1595
"ENSG00000001631","KRIT1",889
"ENSG00000002016","RAD52",5893
"ENSG00000002330","BAD",572
"ENSG00000002549","LAP3",51056
"ENSG00000002586","CD99",4267
"ENSG00000002745","WNT16",51384
"ENSG00000002746","HECW1",23072
"ENSG00000002822","MAD1L1",8379
"ENSG00000002834","LASP1",3927
"ENSG00000002919","SNX11",29916
"ENSG00000002933","TMEM176A",55365
"ENSG00000003056","M6PR",4074
"ENSG00000003096","KLHL13",90293
"ENSG00000003137","CYP26B1",56603
"ENSG00000003249","DBNDD1",79007
"ENSG00000003393","ALS2",57679
"ENSG00000003400","CASP10",843
"ENSG00000003402","CFLAR",8837
"ENSG00000003436","TFPI",7035
"ENSG00000003509","NDUFAF7",55471
"ENSG00000003756","RBM5",10181
"ENSG00000003987","MTMR7",9108
"ENSG00000003989","SLC7A2",6542
"ENSG00000004059","ARF5",381
"ENSG00000004139","SARM1",23098
"ENSG00000004142","POLDIP2",26073
"ENSG00000004399","PLXND1",23129
"ENSG00000004455","AK2",204
"ENSG00000004478","FKBP4",2288
"ENSG00000004487","KDM1A",23028
"ENSG00000004534","RBM6",10180
"ENSG00000004660","CAMKK1",84254
"ENSG00000004700","RECQL",5965
"ENSG00000004766","VPS50",55610
"ENSG00000004776","HSPB6",126393
"ENSG00000004777","ARHGAP33",115703
"ENSG00000004779","NDUFAB1",4706
"ENSG00000004799","PDK4",5166
"ENSG00000004838","ZMYND10",51364
"ENSG00000004846","ABCB5",340273
"ENSG00000004864","SLC25A13",10165
"ENSG00000004866","ST7",7982
